,null_counts,total_counts,null_percent,dtype,sample_value
Field:Aggressor 3 Score,6951,7676,0.90555,float64,0
Field:Aggressor Score,7144,7676,0.93069,float64,6
Field:AR Full Name,6544,7676,0.85253,object,غاده مطر سلو
Field:ARcurrentcountry,2749,7676,0.35813,object,لبنان
Field:arfamnum,6753,7676,0.87976,object,ثالث
Field:arfullrsc,2750,7676,0.35826,object,اللجنة الكاثوليكية الدولية للهجرة (ICMC أو الآي سي أم سي)
Field:arnationality1,2689,7676,0.35031,object,سوري
Field:arrsc,2750,7676,0.35826,object,الآي سي أم سي
Field:Attack Open Ended,7242,7676,0.94346,object,Description of Attack: تخطي الرد
Field:Attack Within Last 6 Months,7461,7676,0.97199,object,1
Field:Attempts to Return,7661,7676,0.99805,object,لا
Field:Canadian Private Sponsorship,6978,7676,0.90907,object,Canadian Private Sponsorship
Field:Canadian Sponsorship Info Rating,6892,7676,0.89786,object,5
Field:Canadian Sponsorship Info Response,6904,7676,0.89943,object,نعم
Field:Conversion,6874,7676,0.89552,object,96170270774
Field:Country Of Origin,7674,7676,0.99974,object,México
Field:Current Country,2745,7676,0.35761,object,curr_country_Lebanon
Field:Current Country Open Ended,7054,7676,0.91897,object,نعم
Field:DAP as Relative of SIV,7675,7676,0.99987,object,DAP as Relative of SIV
Field:Dap Siv Relative Gender 1,7653,7676,0.997,object,ذكر
Field:Dap Siv Relative Legal Status 1,7653,7676,0.997,object,حامل بطاقة خضراء
Field:Dap Siv Relative Name 1,7653,7676,0.997,object,Abbas Abbas
Field:Dap Siv Relative Relation 1,7656,7676,0.99739,object,sister
Field:DAP SIV Relative Relation 1 AR,7656,7676,0.99739,object,أختك
Field:DAP via EV,7652,7676,0.99687,object,DAP via EV
Field:DAP via I 130,7657,7676,0.99752,object,DAP via I-130
Field:DAPEV Info Rating,7640,7676,0.99531,float64,5
Field:DAPEV Info Response,7640,7676,0.99531,object,نعم
Field:DAPI130 Info Rating,7671,7676,0.99935,float64,5
Field:DAPI130 Info Response,7671,7676,0.99935,object,It was good enough Thank you!
Field:Date Most Recent Incident,7137,7676,0.92978,object,20-7-2019.
Field:Date of Departure from United States,7661,7676,0.99805,object,Date of departure: انا ب لبنان
Field:Date of entry into the United States,7661,7676,0.99805,object,Date of entry: لاافهم
Field:Date of NOI,7661,7676,0.99805,object,2019-09-28T12:48:00.086002+03:00
Field:Denial Grounds,7620,7676,0.9927,object,Other Reasons
Field:Email Address1,6686,7676,0.87103,object,Waelbadwi319@gmail.com
Field:EN Full Name,6546,7676,0.85279,object,[Not provided]
Field:End Feedback Follow Up Conversation,3989,7676,0.51967,object,Yes
Field:End Feedback Helpfulness Open Ended,3664,7676,0.47733,object,لا
Field:End Feedback Helpfulness Rating,3349,7676,0.43629,object,5
Field:End Feedback Other Information Needs,3868,7676,0.50391,object,لا
Field:End Feedback Recommend Open Ended,3761,7676,0.48997,object,👍
Field:End Feedback Recommend Rating,3690,7676,0.48072,object,10
Field:EO Waiver,7674,7676,0.99974,object,EO Waiver
Field:Fam Num,6753,7676,0.87976,object,third
Field:Family Worked for USG,7641,7676,0.99544,object,Family member worked for USG
Field:Firstname,2496,7676,0.32517,object,محمد
Field:fullrsc,2750,7676,0.35826,object,International Catholic Migration Commission (ICMC)
Field:Gender,2542,7676,0.33116,float64,1
Field:German Reunification Info Rating,6033,7676,0.78596,object,5
Field:German Reunification Info Response,6065,7676,0.79013,object,نعم
Field:Germany Family Reunification,6175,7676,0.80446,object,Germany Family Reunification
Field:Handoff Timestamp,7190,7676,0.93669,object,2019-08-04T22:38:02.496664+03:00
Field:Has UNHCR file,4509,7676,0.58742,object,نعم
Field:Hired Lawyer,6515,7676,0.84875,object,No
Field:I 130 F,7656,7676,0.99739,object,I-130 F
Field:I 130 IR,7673,7676,0.99961,object,I-130 IR
Field:I 130 Relative Gender 1,7643,7676,0.9957,object,ذكر
Field:I 130 Relative Legal Status 1,7643,7676,0.9957,object,مواطن أمريكي
Field:I 130 Relative Name 1,7643,7676,0.9957,object,Ccc
Field:I 130 Relative Relation 1,7647,7676,0.99622,object,sister
Field:I 130 Relative Relation 1 AR,7647,7676,0.99622,object,أختك
Field:I-130 Approved,7674,7676,0.99974,object,Yes
Field:I-130 Expedite Submitted,7674,7676,0.99974,object,Yes
Field:I-130 Filed,7674,7676,0.99974,object,Yes
Field:I130 Info Rating,7674,7676,0.99974,float64,4
Field:I130 Info Response,7675,7676,0.99987,object,كيف ابدأ بتفعيل الطلب المقدم من جهة اختي
Field:ICORN CPJ,7425,7676,0.9673,object,ICORN CPJ
Field:ICORN Info Rating,7388,7676,0.96248,object,5
Field:ICORN Info Response,7398,7676,0.96378,object,👍
Field:Illness,6613,7676,0.86152,object,Yes
Field:Incident Frequency,7205,7676,0.93864,object,Frequency: بضع مرات في السنة
Field:Lack of Durable Solutions,6940,7676,0.90412,object,YES
Field:Lebanon Location,7019,7676,0.91441,object,نعم.
Field:Lebanon UNHCR Info Rating,6595,7676,0.85917,object,5
Field:Lebanon UNHCR Info Response,6602,7676,0.86008,object,نعم
Field:Legal Residency Issue Description,7020,7676,0.91454,object,نعم
Field:LGBT,6597,7676,0.85943,object,NO
Field:LPPN Score,6859,7676,0.89356,float64,0
Field:Marital Status,2530,7676,0.3296,object,Married
Field:Medical Condition 1 Afftd Fam Mbr,7084,7676,0.92288,object,أنا
Field:Medical Condition 1 Assessment,7084,7676,0.92288,object,5
Field:Medical Condition 1 Inc Treatment,7084,7676,0.92288,object,لا
Field:Medical Condition 1 Name,7084,7676,0.92288,object,السكري
Field:Medical Condition 1 Score,7084,7676,0.92288,float64,5
Field:Medical Condition 1 SVT,7084,7676,0.92288,object,لا
Field:Medical Condition 1 Treatment Abroad,7084,7676,0.92288,object,نعم
Field:Medical Condition 2 Afftd Fam Mbr,7328,7676,0.95466,object,أنا
Field:Medical Condition 2 Assessment,7328,7676,0.95466,float64,5
Field:Medical Condition 2 Inc Treatment,7328,7676,0.95466,object,لا
Field:Medical Condition 2 Name,7328,7676,0.95466,object,ربو
Field:Medical Condition 2 Score,7085,7676,0.92301,float64,0
Field:Medical Condition 2 SVT,7328,7676,0.95466,object,لا
Field:Medical Condition 2 Treatment Abroad,7328,7676,0.95466,object,نعم
Field:Medical Condition 3 Afftd Fam Mbr,7529,7676,0.98085,object,أنا
Field:Medical Condition 3 Assessment,7529,7676,0.98085,float64,5
Field:Medical Condition 3 Inc Treatment,7529,7676,0.98085,object,لا
Field:Medical Condition 3 Name,7529,7676,0.98085,object,ربو
Field:Medical Condition 3 Score,7086,7676,0.92314,float64,0
Field:Medical Condition 3 SVT,7529,7676,0.98085,object,لا
Field:Medical Condition 3 Treatment Abroad,7529,7676,0.98085,object,نعم
Field:Medical Condition Afftd Fam Member,7083,7676,0.92275,object,أنا
Field:Medical Condition Assessment,7084,7676,0.92288,float64,5
Field:Medical Condition Inc Treatment,7083,7676,0.92275,object,No
Field:Medical Condition Score,7084,7676,0.92288,float64,5
Field:Medical Condition Treatment Abroad,7083,7676,0.92275,object,Yes
Field:Medical Needs Score,6618,7676,0.86217,float64,0
Field:Mexico Passport Type,7675,7676,0.99987,object,Replacement
Field:Minor or Adult,2529,7676,0.32947,object,Adult
Field:Mode of Entry,7661,7676,0.99805,object,Mode of entry: Other
Field:Move to Avoid Aggressor,7148,7676,0.93121,object,Unable
Field:Mst Svr Attack,7514,7676,0.9789,object,5
Field:Mst Svr Only Threats,7440,7676,0.96925,object,Severity of Most Serious Threat if Only Threats: 5
Field:Mst Svr Threat,7652,7676,0.99687,object,5
Field:Multiple Incidents,7223,7676,0.94098,object,Yes
Field:Nationality1,2689,7676,0.35031,object,nationality_Syrian
Field:Nationality2,7595,7676,0.98945,object,لا
Field:Ongoing USRAP,3175,7676,0.41363,object,No
Field:Open Ended Additional SVT Info,7623,7676,0.9931,object,في يوم نارد جدا كان ابني مريض جدا لدرجه الخطورة نزلت الى الشارع لاذهب بابني الى المشفى نظرت حولي كي اوقف سيارة 🚗 واذابسيارة تقف وتطلق الرصاص علي وانا اركض في الشارع وما ان اتت سيارة 🚗 مسرعه واركبتني وذهبت بي الي المشفي انا وابني وعلى اثر ذلك اصبح معي الضغط والكولون العصبي
Field:Open Ended Incident within 6 Months,7140,7676,0.93017,object,Description of Threat: تخطي الرد
Field:Open Ended Mst Svr,7296,7676,0.9505,object,Description of Threat: تخطي الرد
Field:Open Ended Other Threats,7663,7676,0.99831,object,My wife changed her religion and her parents keep threatening us
Field:P 3,7668,7676,0.99896,object,P-3
Field:P 3 Relative Gender 1,7667,7676,0.99883,object,ذكر
Field:P 3 Relative Name 1,7667,7676,0.99883,object,Yamn
Field:P 3 Relative Pathway 1,7667,7676,0.99883,object,اللجوء
Field:P 3 Relative Relation 1,7671,7676,0.99935,object,son
Field:P 3 Relative Relation 1 AR,7671,7676,0.99935,object,ابنك
Field:P3 Info Rating,7665,7676,0.99857,float64,5
Field:P3 Info Response,7665,7676,0.99857,object,Because I didn’t know how do I start I will go ahead and tell my son to start Process
Field:Pause Handoffs,4811,7676,0.62676,object,Yes
Field:Period Spent Outside United States,7661,7676,0.99805,object,Period Spent Outside the United States: 8 سنين
Field:Phone Number,6609,7676,0.861,object,96170270774
Field:Prescreening Complete,4164,7676,0.54247,object,Yes
Field:Previous US Resettlement,3175,7676,0.41363,object,No
Field:Rating Last 6 Months,7147,7676,0.93108,float64,5
Field:Rating Most Severe,7147,7676,0.93108,float64,5
Field:Reason Remained Abroad,7661,7676,0.99805,object,بالبنان
Field:Reason Unable to Move,7606,7676,0.99088,object,Reason Unable to Move: السبب مادي
Field:Reasons Unsafe Open Ended,7386,7676,0.96222,object,بسبب الأوضاع المعيشية والامنية.
Field:Relative Abroad Location,4609,7676,0.60044,object,Location: Germany
Field:Relative Abroad Location1,4611,7676,0.6007,object,Location: Germany
Field:Relative Abroad Location2,5768,7676,0.75143,object,Location: Germany
Field:Relative Abroad Location3,6650,7676,0.86634,object,Location: Germany
Field:Relative Abroad Location4,7116,7676,0.92705,object,Location: Germany
Field:Relative Abroad Location5,7327,7676,0.95453,object,Location: Germany
Field:Relative Abroad Name,4609,7676,0.60044,object,Name: محمد
Field:Relative Abroad Name1,4611,7676,0.6007,object,Name: محمد
Field:Relative Abroad Name2,5768,7676,0.75143,object,Name: محمد
Field:Relative Abroad Name3,6650,7676,0.86634,object,Name: محمد
Field:Relative Abroad Name4,7116,7676,0.92705,object,Name: محمد
Field:Relative Abroad Name5,7327,7676,0.95453,object,Name: محمد
Field:Relative Abroad Open Ended,7467,7676,0.97277,object,حسنا
Field:Resettlement Relatives,3230,7676,0.42079,object,Yes
Field:RFR,7619,7676,0.99257,object,RFR
Field:RFR Submission,7665,7676,0.99857,object,RFR Submission
Field:RFR within deadline,7675,7676,0.99987,object,jsv80uRFRv0wnixf
Field:Rsc,2750,7676,0.35826,object,ICMC
Field:Rsc Case Status Portal,2750,7676,0.35826,object,rsc.icmc.net/login
Field:Rsc Contact Email,2750,7676,0.35826,object,info.rsc@icmc.net
Field:SIV,7664,7676,0.99844,object,SIV
Field:SIV 101a,7672,7676,0.99948,object,101(a) SIV
Field:SIV 1059,7672,7676,0.99948,object,1059 SIV
Field:SIV Follow to Join,7673,7676,0.99961,object,SIV Follow to Join
Field:Siv Follow To Join Relative Gender 1,7672,7676,0.99948,object,ذكر
Field:Siv Follow To Join Relative Name 1,7672,7676,0.99948,object,سامر
Field:Siv Follow To Join Relative Rltn 1,7673,7676,0.99961,object,husband
Field:SIV follow to join Relative Rltn 1ar,7673,7676,0.99961,object,زوجك
Field:Supportive US Ties,7661,7676,0.99805,object,لا
Field:SVT,6619,7676,0.8623,object,YES
Field:SVT Medical Condition,7084,7676,0.92288,object,No
Field:SVT Rating Aggressor,7148,7676,0.93121,object,Aggressor SVT Rating: 0
Field:Testing Only,7655,7676,0.99726,object,Yes
Field:Threat Open Ended,7271,7676,0.94724,object,Description of Threat: تخطي الرد
Field:Threat Within Last 6 Months,7279,7676,0.94828,object,Threat Severity: 5
Field:Threats Since Moving,7473,7676,0.97355,object,Yes
Field:Traumatic Incident 1 Assessment,6885,7676,0.89695,float64,5
Field:Traumatic Incident 1 Date,6885,7676,0.89695,object,2012
Field:Traumatic Incident 1 Nrt Rsp,7156,7676,0.93226,object,تخطي
Field:Traumatic Incident 1 Ong Mdl Needs,6885,7676,0.89695,object,لا
Field:Traumatic Incident 2 Assessment,7421,7676,0.96678,float64,5
Field:Traumatic Incident 2 Date,7421,7676,0.96678,object,2014
Field:Traumatic Incident 2 Nrt Rsp,7515,7676,0.97903,object,اصيبت زوجتي نوره موسا الجاسم بطلق ناري  بمنطقه صبرا وشاتيلا في لبنان
Field:Traumatic Incident 2 Ong Mdl Needs,7346,7676,0.95701,object,لا
Field:Unaccompanied Minor,6627,7676,0.86334,object,NO
Field:Unhcr Case File Family Additional,7613,7676,0.99179,object,نعم
Field:Unhcr Case File Family AdultMinor 1,6760,7676,0.88067,object,Minor
Field:Unhcr Case File Family Adultminor 2,6897,7676,0.89851,object,Adult
Field:Unhcr Case File Family Adultminor 3,7051,7676,0.91858,object,Adult
Field:Unhcr Case File Family Adultminor 4,7248,7676,0.94424,object,Adult
Field:Unhcr Case File Family Adultminor 5,7425,7676,0.9673,object,Adult
Field:Unhcr Case File Family Adultminor 6,7563,7676,0.98528,object,Adult
Field:Unhcr Case File Family Age 1,6760,7676,0.88067,object,21
Field:Unhcr Case File Family Age 2,6897,7676,0.89851,object,5
Field:Unhcr Case File Family Age 3,7051,7676,0.91858,object,3
Field:Unhcr Case File Family Age 4,7248,7676,0.94424,object,2
Field:Unhcr Case File Family Age 5,7425,7676,0.9673,object,2
Field:Unhcr Case File Family Age 6,7563,7676,0.98528,object,10
Field:Unhcr Case File Family Gender 1,6760,7676,0.88067,object,أنثى
Field:Unhcr Case File Family Gender 2,6897,7676,0.89851,object,أنثى
Field:Unhcr Case File Family Gender 3,7051,7676,0.91858,object,ذكر
Field:Unhcr Case File Family Gender 4,7248,7676,0.94424,object,ذكر
Field:Unhcr Case File Family Gender 5,7425,7676,0.9673,object,أنثى
Field:Unhcr Case File Family Gender 6,7563,7676,0.98528,object,أنثى
Field:Unhcr Case File Family Name 1,6760,7676,0.88067,object,زوجتي
Field:Unhcr Case File Family Name 2,6897,7676,0.89851,object,محمد
Field:Unhcr Case File Family Name 3,7051,7676,0.91858,object,محمد
Field:Unhcr Case File Family Name 4,7248,7676,0.94424,object,محمد
Field:Unhcr Case File Family Name 5,7425,7676,0.9673,object,محمد
Field:Unhcr Case File Family Name 6,7563,7676,0.98528,object,محمد
Field:Unhcr Case File Family Relation 1,6760,7676,0.88067,object,زوجتي
Field:Unhcr Case File Family Relation 2,6897,7676,0.89851,object,ابني
Field:Unhcr Case File Family Relation 3,7051,7676,0.91858,object,ابني
Field:Unhcr Case File Family Relation 4,7248,7676,0.94424,object,ابني
Field:Unhcr Case File Family Relation 5,7425,7676,0.9673,object,ابنتي
Field:Unhcr Case File Family Relation 6,7563,7676,0.98528,object,ابنتي
Field:Unhcr Case Status Portal,7297,7676,0.95063,object,results.unhcr.org.tr/
Field:Unhcr Number,6764,7676,0.88119,object,لماذا
Field:Unique Session ID,2422,7676,0.31553,object,217a088bd4ce408fa5d8c4eedc4aeb9f20191210T2321413624000200
Field:US Prior Admission,7661,7676,0.99805,object,RTD/RRV
Field:US Relative Age,7622,7676,0.99297,object,Age: Over 21
Field:US Relative Age1,7608,7676,0.99114,object,Age: Over 21
Field:US Relative Age2,7648,7676,0.99635,object,Age: Over 21
Field:US Relative Age3,7669,7676,0.99909,object,Age: Over 21
Field:US Relative Age4,7665,7676,0.99857,object,Age: Over 21
Field:US Relative Age5,7671,7676,0.99935,object,Age: Over 21
Field:US Relative Dateaction,7621,7676,0.99283,object,Date of entry: 15-8-2016
Field:US Relative Dateaction1,7602,7676,0.99036,object,Date of entry: Born in the United States
Field:US Relative Dateaction2,7647,7676,0.99622,object,Date of entry: 15-8-2016
Field:US Relative Dateaction3,7667,7676,0.99883,object,Date of entry: 1-7-2016
Field:US Relative Dateaction4,7665,7676,0.99857,object,Date of entry: 1-1-2016
Field:US Relative Dateaction5,7670,7676,0.99922,object,Date of entry: 1-1-2000
Field:US Relative How Status,7619,7676,0.99257,object,Mode of entry: Refugee resettlement
Field:US Relative How Status1,7600,7676,0.9901,object,Mode of entry: Refugee resettlement
Field:US Relative How Status2,7646,7676,0.99609,object,Mode of entry: Refugee resettlement
Field:US Relative How Status3,7667,7676,0.99883,object,Mode of entry: Refugee resettlement
Field:US Relative How Status4,7665,7676,0.99857,object,Mode of entry: Refugee resettlement
Field:US Relative How Status5,7670,7676,0.99922,object,Mode of entry: Refugee resettlement
Field:US Relative Legal Status,7619,7676,0.99257,object,Legal status: LPR
Field:US Relative Legal Status1,7600,7676,0.9901,object,Legal status: LPR
Field:US Relative Legal Status2,7646,7676,0.99609,object,Legal status: LPR
Field:US Relative Legal Status3,7667,7676,0.99883,object,Legal status: LPR
Field:US Relative Legal Status4,7665,7676,0.99857,object,Legal status: LPR
Field:US Relative Legal Status5,7670,7676,0.99922,object,Legal status: LPR
Field:US Relative Relationship,4817,7676,0.62754,object,Relationship: ابن عمي
Field:US Relative Relationship1,4808,7676,0.62637,object,Relationship: اخي
Field:US Relative Relationship2,5877,7676,0.76563,object,Relationship: ابن عمي
Field:US Relative Relationship3,6722,7676,0.87572,object,Relationship: ابن عمي
Field:US Relative Relationship4,7154,7676,0.932,object,Relationship: ابن عمي
Field:US Relative Relationship5,7345,7676,0.95688,object,Relationship: Other
Field:USRAP Access,7500,7676,0.97707,object,USRAP Access
Field:USRAP Case Number,7647,7676,0.99622,object,947_12C10430
Field:USRAP Info Rating,7477,7676,0.97408,object,5
Field:USRAP Info Response,7486,7676,0.97525,object,نعم
Field:Vulnerability Assessed,7206,7676,0.93877,object,Vulnerability Assessed
Field:western-left,5092,7676,0.66337,float64,3
Field:western-right,5091,7676,0.66324,float64,5
Field:Women and Girls at Risk,6856,7676,0.89317,object,NO
Field:Women and Girls Open Ended,7660,7676,0.99792,object,نعم. هذا مجتمع ذكوري قذر ينظرون للمرأة الأرملة بنظرة أنها فريسة سهلة ممكن التحرش بها  وتحرش بي اكتر من شخص
Field:Women and Girls Severity Assessment,7653,7676,0.997,object,5
Field:Worked for USG,7627,7676,0.99362,object,Worked for USG
Field:Writer or Artist,7397,7676,0.96365,object,Writer/Artist
Field:Years in Current Country,6628,7676,0.86347,float64,7
First Referral,6590,7676,0.85852,object,Yes
Flags,7579,7676,0.98736,object,Unresponsive
ILI Assistance Provided ,7633,7676,0.9944,object,Non-Legal Services Information
In IRAP Process,6590,7676,0.85852,object,No
Language,1055,7676,0.13744,object,ara
Legal Assistance Identified,6668,7676,0.86868,object,Vulnerability RST or Protection Referral (Unspecified)
Medical_X_LPPN,6865,7676,0.89435,float64,0
Mona Case Type Identification,6832,7676,0.89005,object,Accurate
Mona Unique Session ID,6590,7676,0.85852,object,003b4c8a-fa26-4d7c-bb47-c27109b757e3.2019-07-26T11:31:28.453242+03:00
Mona Unique User ID,199,7676,0.02592,object,217a088b-d4ce-408f-a5d8-c4eedc4aeb9f
Name,296,7676,0.03856,object,محمد
nationality_Iraqi,0,7676,0,uint8,0
nationality_Syrian,0,7676,0,uint8,1
Pipeline,6590,7676,0.85852,object,Mona
process_day_>=1,6898,7676,0.89865,float64,0
process_day_>=7,6890,7676,0.8976,float64,0
process_dayA_>=1,6659,7676,0.86751,float64,1
process_dayC_>=1,6895,7676,0.89825,float64,1
process_days,6890,7676,0.8976,float64,0
process_daysA,6652,7676,0.8666,float64,1
process_daysC,6889,7676,0.89747,float64,1
Program Eligibilities,6626,7676,0.86321,object,Vulnerability-Based RST and Protection
Screener,6620,7676,0.86243,object,Tiba Fatli
Screening Decision,6853,7676,0.89278,object,Cannot Represent
Screening Stage,6590,7676,0.85852,object,Screening Complete
URN:Facebook,887,7676,0.11555,float64,1.22442E+15
URN:Telegram,6988,7676,0.91037,object,1000749317
Vulnerability Threshold,6956,7676,0.9062,float64,0
